,player_id,fifa_version,overall,potential,age,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,main_position
160640,224129,16.0,59,67,17,Right,2,2,1,69.0,32.0,42.0,60.0,60.0,50.0,DF
18410,202652,23.0,86,86,27,Right,3,4,4,90.0,80.0,78.0,86.0,45.0,67.0,FW
38703,198032,22.0,75,75,29,Left,3,2,1,48.0,33.0,63.0,58.0,75.0,80.0,DF
126126,239991,18.0,60,71,19,Right,3,2,1,66.0,30.0,48.0,43.0,62.0,50.0,DF
176365,210392,15.0,58,73,19,Right,3,2,1,78.0,27.0,56.0,60.0,55.0,59.0,DF
112089,187347,18.0,80,80,28,Right,3,2,2,87.0,61.0,75.0,73.0,76.0,75.0,DF
55892,256472,22.0,50,70,19,Left,3,2,1,63.0,38.0,48.0,48.0,40.0,52.0,MD
7349,253465,24.0,67,77,21,Right,3,2,1,79.0,39.0,54.0,57.0,65.0,69.0,DF
37297,237238,22.0,80,84,24,Right,3,3,2,66.0,75.0,75.0,75.0,78.0,84.0,MD
112347,188879,18.0,78,80,27,Right,3,2,1,72.0,54.0,64.0,67.0,76.0,86.0,MD
137447,182728,17.0,67,69,26,Right,4,2,1,83.0,66.0,57.0,66.0,36.0,57.0,FW
141299,226027,17.0,63,72,21,Right,3,2,1,68.0,57.0,61.0,65.0,51.0,63.0,MD
112191,189271,18.0,79,80,26,Right,3,3,2,66.0,52.0,67.0,75.0,78.0,80.0,MD
56733,181786,21.0,79,79,34,Right,3,3,3,54.0,49.0,65.0,67.0,80.0,78.0,DF
97876,166838,19.0,71,71,31,Right,4,4,1,66.0,66.0,67.0,74.0,47.0,65.0,MD
23273,203749,23.0,70,70,30,Left,3,2,1,54.0,31.0,47.0,51.0,69.0,76.0,DF
178589,215435,15.0,54,62,21,Right,3,2,1,73.0,25.0,30.0,33.0,52.0,63.0,DF
1555,236461,24.0,75,77,26,Right,4,3,1,69.0,73.0,57.0,72.0,34.0,78.0,FW
14603,276064,24.0,60,76,19,Left,2,2,1,73.0,34.0,42.0,60.0,62.0,62.0,DF
164408,188377,15.0,77,81,24,Right,2,2,2,91.0,63.0,71.0,72.0,76.0,80.0,DF
120658,235199,18.0,66,72,22,Right,3,3,1,81.0,50.0,60.0,72.0,22.0,42.0,MD
158036,166376,16.0,63,63,27,Right,5,2,1,67.0,62.0,63.0,65.0,40.0,57.0,MD
174901,183542,15.0,60,71,20,Left,3,3,1,69.0,63.0,40.0,51.0,27.0,63.0,FW
57053,213135,21.0,77,82,25,Right,4,4,2,82.0,76.0,67.0,77.0,27.0,74.0,FW
135620,147537,17.0,69,69,31,Left,4,3,1,70.0,59.0,65.0,67.0,67.0,68.0,DF
99094,244389,19.0,69,83,19,Right,3,2,1,77.0,61.0,60.0,71.0,26.0,43.0,FW
170449,181795,15.0,65,70,27,Left,2,3,1,71.0,41.0,54.0,63.0,64.0,72.0,DF
124407,236044,18.0,63,63,30,Right,3,3,1,58.0,63.0,43.0,60.0,31.0,71.0,FW
38972,235454,22.0,74,78,22,Left,2,2,1,68.0,52.0,68.0,66.0,75.0,75.0,DF
37811,236499,22.0,77,82,23,Right,2,3,2,67.0,67.0,74.0,76.0,74.0,69.0,MD
76589,205670,20.0,76,76,28,Right,4,3,1,81.0,77.0,58.0,72.0,28.0,61.0,FW
132059,188871,17.0,74,74,27,Right,3,2,1,55.0,72.0,48.0,61.0,31.0,80.0,FW
94294,196978,19.0,78,80,26,Right,3,4,1,87.0,75.0,64.0,75.0,38.0,73.0,FW
53391,256449,22.0,58,80,18,Right,3,2,1,51.0,37.0,52.0,48.0,59.0,62.0,DF
65659,242453,21.0,65,82,18,Right,3,2,1,64.0,30.0,55.0,63.0,65.0,64.0,DF
168962,201327,15.0,67,69,26,Right,4,3,1,80.0,64.0,63.0,68.0,66.0,83.0,MD
130906,186392,17.0,76,78,26,Right,3,2,1,70.0,54.0,67.0,66.0,78.0,76.0,DF
166229,186116,15.0,71,78,23,Right,3,3,1,66.0,68.0,71.0,72.0,58.0,73.0,MD
170033,160578,15.0,66,66,31,Right,3,2,1,76.0,48.0,56.0,63.0,65.0,78.0,DF
127656,230149,18.0,57,70,20,Left,3,2,1,66.0,27.0,47.0,56.0,53.0,64.0,DF
75657,202750,20.0,79,81,28,Right,4,2,1,64.0,35.0,62.0,61.0,78.0,82.0,DF
153229,176254,16.0,68,68,31,Left,3,2,1,74.0,57.0,58.0,55.0,68.0,74.0,DF
91975,243613,20.0,56,71,20,Right,3,2,1,54.0,30.0,51.0,47.0,55.0,60.0,MD
161077,219963,16.0,58,69,21,Right,3,2,1,62.0,60.0,45.0,53.0,24.0,52.0,FW
114314,202695,18.0,73,78,24,Right,4,2,1,63.0,43.0,61.0,64.0,73.0,77.0,DF
157478,219825,16.0,63,72,21,Right,3,2,1,75.0,63.0,43.0,59.0,30.0,68.0,FW
46882,263804,22.0,65,75,21,Right,2,2,1,77.0,42.0,50.0,57.0,58.0,60.0,DF
50270,248474,22.0,62,80,19,Right,3,3,1,69.0,57.0,60.0,62.0,44.0,62.0,MD
177875,225526,15.0,56,62,18,Right,4,2,1,64.0,45.0,57.0,58.0,47.0,50.0,MD
57549,201118,21.0,76,76,28,Right,4,3,2,76.0,65.0,70.0,75.0,72.0,67.0,DF
108503,150995,19.0,60,60,32,Right,2,2,1,68.0,42.0,50.0,49.0,62.0,63.0,DF
56519,206517,21.0,80,83,24,Right,3,4,1,76.0,74.0,80.0,84.0,46.0,61.0,FW
18761,204311,23.0,80,82,27,Right,3,2,2,62.0,51.0,62.0,56.0,80.0,84.0,DF
129691,121944,17.0,83,83,31,Right,3,3,4,51.0,76.0,83.0,75.0,75.0,74.0,MD
148161,201818,16.0,76,82,22,Right,3,4,2,93.0,76.0,65.0,82.0,28.0,53.0,FW
84114,236367,20.0,66,73,23,Right,2,2,1,70.0,33.0,44.0,59.0,65.0,67.0,DF
113256,215716,18.0,75,80,22,Right,4,2,1,59.0,75.0,52.0,67.0,24.0,81.0,FW
134228,218658,17.0,70,81,21,Right,3,3,1,89.0,31.0,54.0,67.0,68.0,79.0,DF
38871,222104,22.0,74,82,23,Right,3,2,1,67.0,31.0,55.0,57.0,75.0,75.0,DF
142672,223963,17.0,61,81,17,Right,2,2,1,70.0,32.0,47.0,50.0,61.0,64.0,DF
46744,243702,22.0,65,79,20,Right,3,3,1,80.0,33.0,50.0,64.0,60.0,57.0,DF
57747,220031,21.0,75,79,24,Right,3,3,1,62.0,72.0,58.0,69.0,34.0,76.0,FW
77171,231391,20.0,74,83,22,Right,4,4,1,71.0,68.0,72.0,77.0,33.0,44.0,MD
113136,199633,18.0,76,76,28,Right,3,2,1,75.0,60.0,69.0,73.0,74.0,77.0,DF
101601,239437,19.0,67,69,25,Left,3,3,1,75.0,69.0,62.0,68.0,60.0,61.0,MD
19664,207807,23.0,76,76,28,Right,4,3,1,83.0,69.0,71.0,80.0,49.0,61.0,MD
40846,231391,22.0,71,77,24,Right,3,4,1,71.0,66.0,71.0,76.0,33.0,48.0,MD
75861,201417,20.0,78,79,27,Right,4,3,1,74.0,63.0,71.0,74.0,74.0,78.0,DF
102323,224019,19.0,66,75,21,Right,3,3,1,65.0,46.0,64.0,66.0,57.0,69.0,MD
14570,270682,24.0,60,77,19,Right,3,3,1,65.0,53.0,57.0,65.0,35.0,49.0,MD
22829,233484,23.0,70,76,23,Right,3,2,1,75.0,63.0,65.0,69.0,70.0,77.0,MD
1276,200759,24.0,76,76,30,Left,2,3,1,82.0,71.0,70.0,76.0,74.0,75.0,MD
114094,190637,18.0,74,74,29,Left,3,2,1,52.0,33.0,51.0,39.0,76.0,77.0,DF
53970,251648,22.0,57,71,20,Right,3,2,1,62.0,46.0,55.0,57.0,55.0,53.0,MD
1646,201417,24.0,75,75,31,Right,4,3,1,68.0,65.0,71.0,72.0,73.0,74.0,DF
149379,191089,16.0,73,78,22,Right,3,2,1,74.0,74.0,61.0,72.0,27.0,77.0,FW
232,223334,24.0,82,83,26,Right,3,3,2,78.0,71.0,76.0,82.0,81.0,88.0,MD
174885,215820,15.0,60,72,18,Right,3,2,1,64.0,32.0,46.0,52.0,59.0,69.0,DF
161780,226023,16.0,57,63,19,Right,3,2,1,62.0,35.0,37.0,56.0,60.0,59.0,DF
140018,215959,17.0,65,65,32,Left,3,2,1,73.0,64.0,64.0,63.0,65.0,53.0,DF
154242,193956,16.0,67,67,26,Left,3,2,1,65.0,64.0,67.0,65.0,46.0,68.0,MD
115139,199910,18.0,72,74,26,Right,5,2,1,77.0,62.0,67.0,62.0,69.0,67.0,MD
111595,192985,18.0,89,92,26,Right,4,4,4,75.0,84.0,88.0,85.0,45.0,75.0,MD
171141,220612,15.0,64,80,19,Right,3,2,1,73.0,64.0,47.0,74.0,26.0,52.0,FW
487,246104,24.0,79,87,21,Right,4,4,1,72.0,76.0,78.0,83.0,68.0,72.0,MD
64583,245226,21.0,66,78,19,Left,3,2,1,51.0,29.0,38.0,48.0,65.0,73.0,DF
172952,152735,15.0,63,63,32,Left,3,3,1,56.0,55.0,63.0,55.0,64.0,79.0,MD
149300,215590,16.0,73,82,21,Right,4,3,1,78.0,72.0,61.0,80.0,23.0,62.0,FW
165204,10780,15.0,74,74,34,Right,3,2,1,49.0,38.0,54.0,45.0,79.0,81.0,DF
523,227678,24.0,79,82,25,Right,3,2,2,77.0,39.0,62.0,71.0,80.0,76.0,DF
117341,239953,18.0,69,84,18,Right,3,3,1,81.0,67.0,55.0,70.0,22.0,57.0,FW
153118,147020,16.0,68,68,30,Right,3,2,1,65.0,54.0,66.0,68.0,64.0,64.0,MD
13788,268443,24.0,61,84,18,Right,3,3,1,72.0,50.0,60.0,67.0,48.0,54.0,MD
97443,237238,19.0,71,81,21,Right,3,3,1,64.0,61.0,68.0,66.0,69.0,74.0,MD
127797,219255,18.0,57,65,22,Right,2,2,1,45.0,47.0,59.0,62.0,51.0,53.0,MD
176339,206518,15.0,58,77,19,Right,2,2,1,75.0,57.0,34.0,59.0,27.0,58.0,FW
37442,202048,22.0,79,81,28,Right,3,2,1,47.0,58.0,75.0,67.0,79.0,75.0,DF
118239,237221,18.0,68,86,19,Right,3,2,1,73.0,45.0,53.0,68.0,67.0,66.0,DF
2294,271574,24.0,73,86,18,Right,3,3,1,74.0,43.0,67.0,72.0,70.0,59.0,DF
116666,224719,18.0,70,75,23,Right,4,4,1,77.0,57.0,65.0,73.0,31.0,58.0,MD
137006,202799,17.0,67,78,21,Right,5,4,1,84.0,59.0,60.0,73.0,24.0,48.0,MD
68177,220197,21.0,63,73,23,Left,2,2,1,59.0,51.0,57.0,61.0,61.0,71.0,DF
164998,202651,15.0,74,83,20,Left,3,4,1,76.0,62.0,74.0,83.0,27.0,44.0,MD
18658,236792,23.0,81,83,27,Right,3,3,1,57.0,72.0,73.0,72.0,82.0,85.0,MD
4421,246679,24.0,70,78,23,Right,4,3,1,64.0,45.0,62.0,65.0,69.0,72.0,DF
99453,212054,19.0,69,72,26,Right,3,2,1,87.0,44.0,53.0,60.0,66.0,70.0,DF
109856,230149,19.0,57,64,21,Left,3,2,1,65.0,27.0,47.0,56.0,54.0,64.0,DF
26696,270946,23.0,67,67,29,Right,3,2,1,67.0,37.0,52.0,59.0,67.0,73.0,DF
38375,237329,22.0,75,83,21,Right,3,3,1,76.0,72.0,68.0,76.0,61.0,69.0,MD
80516,202940,20.0,70,70,27,Right,3,3,1,80.0,66.0,65.0,74.0,39.0,54.0,FW
52176,237825,22.0,60,74,21,Right,2,3,1,71.0,47.0,56.0,64.0,36.0,51.0,MD
47081,263290,22.0,65,72,22,Right,2,2,1,69.0,41.0,54.0,61.0,62.0,59.0,DF
138088,213699,17.0,66,78,20,Right,2,2,1,74.0,64.0,38.0,65.0,25.0,69.0,FW
57489,183129,21.0,76,76,30,Left,2,2,2,51.0,53.0,53.0,54.0,78.0,74.0,DF
157349,203357,16.0,63,75,21,Left,3,2,1,63.0,28.0,52.0,59.0,64.0,59.0,DF
129966,169595,17.0,80,82,25,Left,3,3,2,82.0,63.0,71.0,77.0,78.0,77.0,DF
135082,225100,17.0,69,81,19,Right,3,2,1,79.0,30.0,53.0,65.0,69.0,71.0,DF
156354,213955,16.0,64,76,20,Right,4,3,1,79.0,62.0,58.0,64.0,38.0,57.0,FW
76867,204355,20.0,75,76,27,Left,2,2,1,66.0,40.0,63.0,67.0,76.0,72.0,DF
31877,271327,23.0,62,69,23,Right,3,3,1,70.0,63.0,44.0,60.0,23.0,55.0,FW
37459,225508,22.0,79,80,27,Right,3,3,2,73.0,42.0,58.0,67.0,79.0,77.0,DF
138209,211463,17.0,66,74,23,Right,4,3,1,77.0,66.0,56.0,70.0,32.0,64.0,FW
119710,223458,18.0,67,70,24,Right,3,3,1,77.0,60.0,62.0,70.0,47.0,63.0,MD
156441,228831,16.0,64,74,20,Right,3,3,1,68.0,63.0,60.0,62.0,66.0,60.0,MD
94957,168326,19.0,76,76,31,Left,2,2,2,66.0,51.0,55.0,61.0,76.0,79.0,DF
18426,188377,23.0,85,85,32,Right,2,3,3,91.0,63.0,77.0,78.0,80.0,82.0,DF
88309,243044,20.0,62,77,19,Right,3,2,1,64.0,50.0,56.0,63.0,59.0,66.0,MD
40742,245396,22.0,71,82,21,Right,3,3,1,87.0,70.0,50.0,71.0,19.0,51.0,FW
177919,225525,15.0,56,61,20,Left,2,2,1,65.0,31.0,41.0,56.0,60.0,50.0,DF
38494,224218,22.0,75,78,25,Right,4,4,1,85.0,73.0,67.0,76.0,35.0,61.0,FW
94633,176285,19.0,77,77,29,Right,3,2,2,62.0,52.0,48.0,49.0,77.0,77.0,DF
140619,194954,17.0,64,67,25,Right,3,2,1,77.0,29.0,56.0,55.0,63.0,62.0,DF
156022,140453,16.0,65,65,31,Right,4,4,1,68.0,62.0,67.0,69.0,26.0,55.0,MD
389,238067,24.0,80,84,23,Left,3,4,2,83.0,78.0,72.0,81.0,51.0,86.0,MD
144539,231126,17.0,58,73,18,Right,3,3,1,66.0,56.0,46.0,55.0,22.0,49.0,FW
114655,172937,18.0,73,73,33,Right,3,2,1,49.0,73.0,59.0,66.0,35.0,74.0,FW
137373,224449,17.0,67,71,25,Right,4,3,1,75.0,60.0,62.0,71.0,36.0,44.0,MD
101153,237973,19.0,67,77,20,Right,4,3,1,78.0,58.0,63.0,70.0,51.0,60.0,MD
99113,227174,19.0,69,81,20,Right,2,3,1,81.0,53.0,65.0,71.0,57.0,59.0,MD
132673,193550,17.0,73,73,28,Right,3,3,1,74.0,61.0,70.0,73.0,67.0,81.0,MD
58668,205990,21.0,73,79,25,Right,3,3,1,68.0,57.0,71.0,70.0,69.0,68.0,MD
3764,238157,24.0,71,75,24,Right,3,3,1,69.0,45.0,65.0,67.0,65.0,69.0,DF
134958,201436,17.0,70,70,30,Right,3,3,1,77.0,53.0,72.0,67.0,64.0,70.0,DF
13002,259096,24.0,62,75,22,Right,3,3,1,71.0,50.0,55.0,61.0,58.0,69.0,MD
94049,224293,19.0,79,87,21,Right,3,3,2,64.0,70.0,80.0,74.0,70.0,74.0,MD
76805,206594,20.0,75,78,24,Left,2,3,1,77.0,68.0,72.0,77.0,50.0,60.0,MD
128811,231032,18.0,53,72,18,Left,3,2,1,70.0,39.0,51.0,55.0,46.0,54.0,DF
179819,222111,15.0,49,53,22,Right,3,2,1,58.0,40.0,46.0,42.0,47.0,60.0,MD
149719,179897,16.0,73,73,29,Right,3,2,1,69.0,40.0,48.0,43.0,74.0,79.0,DF
1615,186801,24.0,75,75,33,Right,3,3,2,57.0,64.0,63.0,67.0,75.0,81.0,MD
144486,235619,17.0,58,84,17,Left,3,4,1,68.0,48.0,56.0,64.0,28.0,39.0,MD
102183,229745,19.0,66,80,20,Right,3,3,1,77.0,53.0,59.0,75.0,27.0,60.0,FW
160396,222400,16.0,59,74,19,Right,3,2,1,76.0,54.0,62.0,66.0,44.0,53.0,MD
155349,216371,16.0,65,77,21,Right,4,2,1,68.0,53.0,56.0,61.0,64.0,69.0,MD
126100,219966,18.0,60,71,20,Right,3,3,1,60.0,47.0,57.0,66.0,49.0,49.0,MD
39767,200855,22.0,73,73,28,Right,3,3,1,77.0,47.0,63.0,71.0,67.0,73.0,DF
142727,224525,17.0,61,75,21,Left,2,2,1,69.0,63.0,56.0,63.0,31.0,54.0,MD
171603,206004,15.0,64,68,25,Right,2,2,1,53.0,30.0,45.0,49.0,66.0,70.0,DF
144209,213935,17.0,59,68,21,Right,3,2,1,69.0,27.0,35.0,35.0,61.0,61.0,DF
29092,252897,23.0,64,81,18,Right,3,2,1,78.0,43.0,60.0,66.0,56.0,67.0,DF
114361,207554,18.0,73,77,25,Right,3,2,1,69.0,71.0,71.0,71.0,40.0,70.0,MD
60868,225541,21.0,70,74,25,Right,3,3,1,84.0,67.0,55.0,68.0,31.0,76.0,FW
93637,162895,19.0,84,84,31,Right,3,3,4,55.0,74.0,88.0,80.0,60.0,58.0,MD
38937,220714,22.0,74,79,25,Left,3,3,1,59.0,70.0,71.0,71.0,72.0,78.0,MD
151907,203629,16.0,69,74,25,Right,5,3,1,64.0,74.0,67.0,66.0,56.0,74.0,MD
147651,156713,16.0,79,79,30,Right,4,2,2,48.0,61.0,58.0,55.0,82.0,78.0,DF
103392,228151,19.0,65,75,22,Right,3,3,1,70.0,49.0,62.0,68.0,55.0,61.0,MD
50340,245286,22.0,62,76,20,Right,3,2,1,62.0,46.0,60.0,65.0,41.0,51.0,MD
43189,228205,22.0,69,69,32,Left,3,2,1,68.0,33.0,48.0,57.0,70.0,70.0,DF
4633,221456,24.0,70,73,26,Right,3,2,1,67.0,36.0,54.0,61.0,71.0,71.0,DF
163968,13743,15.0,82,82,34,Right,3,3,4,63.0,83.0,85.0,75.0,70.0,81.0,MD
59918,236600,21.0,71,83,21,Right,2,2,1,74.0,23.0,53.0,63.0,71.0,73.0,DF
37017,208670,22.0,84,84,28,Left,2,5,3,78.0,76.0,87.0,83.0,50.0,65.0,FW
140308,203224,17.0,64,72,23,Left,3,2,1,58.0,35.0,52.0,48.0,64.0,65.0,DF
148263,179768,16.0,76,77,27,Right,3,2,2,73.0,61.0,72.0,68.0,76.0,78.0,MD
75077,201942,20.0,86,87,27,Right,4,4,3,77.0,82.0,80.0,87.0,61.0,78.0,FW
64567,233050,21.0,66,78,20,Right,2,3,1,74.0,53.0,64.0,69.0,57.0,71.0,MD
59164,245131,21.0,72,86,19,Left,4,4,1,90.0,60.0,59.0,81.0,33.0,43.0,MD
148350,159034,16.0,76,76,29,Right,3,2,2,53.0,34.0,52.0,48.0,78.0,76.0,DF
151012,215965,16.0,70,80,19,Left,2,2,1,79.0,67.0,53.0,69.0,24.0,68.0,FW
148415,186253,16.0,76,76,29,Right,4,2,1,71.0,60.0,60.0,55.0,80.0,74.0,DF
112035,50542,18.0,80,80,34,Right,4,3,2,74.0,85.0,61.0,79.0,25.0,65.0,FW
121312,204212,18.0,66,66,32,Right,2,2,1,62.0,63.0,68.0,62.0,67.0,75.0,MD
164293,164477,15.0,78,80,27,Right,3,2,3,61.0,53.0,69.0,68.0,78.0,88.0,MD
122064,221599,18.0,65,66,27,Right,3,2,1,75.0,38.0,46.0,67.0,69.0,60.0,DF
2656,204760,24.0,73,73,29,Left,2,3,1,68.0,52.0,68.0,70.0,73.0,77.0,DF
168356,152991,15.0,68,68,30,Right,3,2,1,71.0,64.0,68.0,67.0,65.0,80.0,MD
142303,219436,17.0,62,68,21,Right,2,3,1,78.0,50.0,53.0,68.0,50.0,51.0,MD
57027,238074,21.0,77,86,20,Right,3,3,1,80.0,57.0,72.0,75.0,73.0,76.0,DF
78329,232756,20.0,72,83,21,Right,3,2,1,80.0,35.0,55.0,65.0,71.0,71.0,DF
114988,211088,18.0,72,78,24,Right,3,2,1,71.0,58.0,68.0,71.0,70.0,62.0,MD
167114,165321,15.0,70,70,28,Left,5,3,2,67.0,58.0,68.0,63.0,69.0,71.0,DF
93654,230666,19.0,83,92,21,Right,3,4,2,86.0,80.0,72.0,87.0,39.0,73.0,FW
101013,237542,19.0,68,68,28,Right,5,3,1,75.0,72.0,54.0,66.0,27.0,56.0,FW
120818,199906,18.0,66,69,25,Right,3,3,1,68.0,53.0,62.0,67.0,60.0,62.0,MD
44357,256725,22.0,67,86,18,Right,4,3,1,75.0,60.0,60.0,70.0,34.0,46.0,MD
175569,166985,15.0,60,60,27,Left,4,3,1,65.0,60.0,56.0,62.0,47.0,64.0,FW
131201,213955,17.0,75,83,21,Right,4,3,1,81.0,74.0,64.0,73.0,39.0,67.0,FW
64480,243852,21.0,67,67,29,Right,3,3,1,76.0,58.0,67.0,69.0,55.0,63.0,MD
177009,204499,15.0,57,74,19,Right,3,2,1,54.0,27.0,38.0,38.0,56.0,70.0,DF
147287,20800,16.0,82,82,31,Right,4,4,2,84.0,74.0,81.0,84.0,33.0,65.0,MD
177196,208043,15.0,57,65,22,Right,4,2,1,58.0,31.0,35.0,37.0,63.0,60.0,DF
56171,195864,21.0,86,87,27,Right,4,5,4,73.0,81.0,86.0,85.0,66.0,85.0,MD
37555,237678,22.0,78,86,22,Right,2,3,2,71.0,34.0,57.0,67.0,80.0,76.0,DF
19475,235794,23.0,76,81,24,Right,3,4,1,75.0,70.0,74.0,81.0,47.0,67.0,MD
56650,222400,21.0,79,84,24,Right,3,3,1,67.0,58.0,78.0,82.0,72.0,68.0,MD
52281,257254,22.0,60,72,19,Right,3,2,1,66.0,59.0,48.0,58.0,26.0,53.0,FW
77248,212300,20.0,74,79,25,Left,2,2,1,63.0,37.0,50.0,55.0,73.0,78.0,DF
148124,213135,16.0,76,86,20,Right,3,4,1,85.0,74.0,68.0,76.0,30.0,64.0,FW
164716,182882,15.0,76,76,28,Left,3,2,2,64.0,57.0,69.0,70.0,72.0,87.0,MD
58030,199633,21.0,75,75,31,Right,3,2,1,66.0,61.0,72.0,72.0,75.0,73.0,DF
123533,237698,18.0,63,81,18,Left,3,3,1,69.0,52.0,62.0,66.0,40.0,58.0,MD
42321,240164,22.0,70,70,26,Right,4,3,1,76.0,58.0,65.0,72.0,41.0,47.0,MD
77295,193897,20.0,74,77,26,Right,4,3,2,75.0,70.0,73.0,76.0,39.0,44.0,MD
65652,242964,21.0,65,83,19,Right,3,3,1,73.0,59.0,59.0,68.0,31.0,55.0,FW
135624,148067,17.0,69,69,30,Right,3,2,1,61.0,64.0,68.0,66.0,65.0,72.0,MD
167507,172322,15.0,69,70,26,Right,4,3,1,80.0,63.0,67.0,69.0,67.0,67.0,MD
118811,216313,18.0,68,69,27,Right,3,2,1,69.0,46.0,56.0,62.0,70.0,72.0,DF
