,value_eur
101153,1200000.0
99113,1900000.0
132673,2800000.0
58668,4300000.0
3764,2500000.0
134958,925000.0
13002,925000.0
94049,18500000.0
76805,8500000.0
128811,110000.0
179819,20000.0
149719,2200000.0
1615,2800000.0
144486,275000.0
102183,1400000.0
160396,325000.0
155349,850000.0
126100,350000.0
39767,2800000.0
142727,500000.0
171603,500000.0
144209,210000.0
29092,1400000.0
114361,5000000.0
60868,2200000.0
93637,26500000.0
38937,6000000.0
151907,1300000.0
147651,7500000.0
103392,850000.0
50340,950000.0
43189,900000.0
4633,1800000.0
163968,3900000.0
59918,4300000.0
37017,42500000.0
140308,550000.0
148263,4900000.0
75077,52000000.0
64567,2100000.0
59164,5500000.0
148350,4000000.0
151012,2000000.0
148415,4000000.0
112035,8000000.0
121312,475000.0
164293,7000000.0
122064,500000.0
2656,2500000.0
168356,825000.0
142303,375000.0
57027,22000000.0
78329,4900000.0
114988,4200000.0
167114,1400000.0
93654,40500000.0
101013,925000.0
120818,800000.0
44357,2600000.0
175569,230000.0
131201,6000000.0
64480,1000000.0
177009,90000.0
147287,17000000.0
177196,100000.0
56171,77500000.0
37555,29500000.0
19475,11500000.0
56650,24500000.0
52281,600000.0
77248,6500000.0
148124,8500000.0
164716,4300000.0
58030,4100000.0
123533,750000.0
42321,1700000.0
77295,7000000.0
65652,1800000.0
135624,900000.0
167507,1100000.0
118811,825000.0
99075,2200000.0
131748,3600000.0
57044,16500000.0
20560,4100000.0
1910,6000000.0
121781,750000.0
70191,675000.0
148744,3800000.0
123792,475000.0
150023,2100000.0
121899,600000.0
164016,10000000.0
137061,975000.0
1160,11000000.0
57297,16000000.0
521,20000000.0
93998,13500000.0
115824,3100000.0
24584,2700000.0
177684,70000.0
26733,2100000.0
75815,12000000.0
164388,5500000.0
38129,10000000.0
170052,500000.0
65835,1600000.0
116737,2200000.0
72784,400000.0
39055,4000000.0
99328,1400000.0
173187,275000.0
177041,120000.0
63320,1000000.0
38020,18000000.0
57992,4900000.0
132104,2600000.0
168769,500000.0
87334,800000.0
95632,9000000.0
117646,1400000.0
148239,6500000.0
76723,9000000.0
143077,250000.0
136383,875000.0
132414,3300000.0
74651,150000.0
38371,12500000.0
130011,9500000.0
113354,6500000.0
164215,8000000.0
79819,2900000.0
172192,300000.0
93547,34000000.0
81663,1800000.0
76060,11500000.0
38499,7500000.0
1426,12500000.0
1,185000000.0
38022,16500000.0
112239,13000000.0
116739,1800000.0
96727,4800000.0
150254,2000000.0
77253,7500000.0
94697,7500000.0
19745,12500000.0
47,86500000.0
1979,4600000.0
78037,3600000.0
112339,10500000.0
2052,2200000.0
130548,9000000.0
24,91500000.0
164478,4200000.0
75334,24000000.0
160879,150000.0
23437,1400000.0
148298,4600000.0
161034,240000.0
150820,1200000.0
170003,300000.0
130789,7000000.0
41754,2200000.0
116783,2100000.0
103568,650000.0
2116,3500000.0
574,8000000.0
173455,300000.0
144491,250000.0
25442,1100000.0
137838,750000.0
37448,19500000.0
147502,14000000.0
37094,46000000.0
18413,72500000.0
37763,21500000.0
38694,4600000.0
116,49500000.0
115012,3600000.0
147246,22500000.0
142068,450000.0
130344,9500000.0
75443,17500000.0
37658,9000000.0
61514,3300000.0
57999,5500000.0
175700,120000.0
153869,875000.0
140710,425000.0
20243,9500000.0
76968,3200000.0
148747,3900000.0
164997,2300000.0
96860,3500000.0
124937,400000.0
66986,1200000.0
166155,1800000.0
120795,850000.0
4379,3500000.0
96827,3500000.0
78744,1900000.0
76716,8000000.0
60335,1600000.0
98425,2400000.0
57439,7500000.0
50431,925000.0
59188,4800000.0
44382,2500000.0
76050,12500000.0
72780,375000.0
116435,3800000.0
98134,1900000.0
93878,13000000.0
147842,7000000.0
20087,5000000.0
90649,250000.0
80856,1500000.0
134357,1600000.0
75549,12500000.0
151979,1100000.0
161704,120000.0
170893,500000.0
41574,3300000.0
29446,1100000.0
166682,1500000.0
150017,2500000.0
114713,4100000.0
75963,10500000.0
130232,10500000.0
75324,19500000.0
132467,1700000.0
112373,12500000.0
95489,6500000.0
87462,650000.0
44265,1200000.0
111819,21000000.0
155179,450000.0
151916,1300000.0
20370,5500000.0
170905,300000.0
140992,120000.0
179043,50000.0
95326,7500000.0
56454,22500000.0
38961,6000000.0
146478,80000.0
112900,9500000.0
69993,850000.0
75659,15000000.0
127124,275000.0
26720,2000000.0
115421,3000000.0
122174,550000.0
147310,25000000.0
119368,1200000.0
1327,8000000.0
110841,110000.0
129833,17500000.0
61197,1300000.0
130362,
115461,2800000.0
164085,13000000.0
1781,10000000.0
175151,275000.0
140319,550000.0
58993,3100000.0
37880,12500000.0
57676,11000000.0
131472,3000000.0
2718,3000000.0
49403,1100000.0
127158,250000.0
139500,725000.0
156016,400000.0
40252,2500000.0
19083,15000000.0
78144,3200000.0
86296,750000.0
1575,6000000.0
151653,1400000.0
56667,25000000.0
111805,27500000.0
119061,925000.0
10631,1600000.0
98249,2400000.0
91374,160000.0
113581,7000000.0
38675,4800000.0
111777,20000000.0
94965,4100000.0
148624,4100000.0
18638,35000000.0
136090,1300000.0
112978,3100000.0
165641,2200000.0
57085,12500000.0
164637,2100000.0
149426,3000000.0
38120,8500000.0
166195,1000000.0
149854,2900000.0
32988,375000.0
169447,575000.0
3970,1500000.0
11009,1200000.0
169103,
39087,2900000.0
11087,925000.0
115366,2500000.0
123465,450000.0
147051,70000.0
56718,15500000.0
77973,4700000.0
134006,1200000.0
151037,2000000.0
131808,4100000.0
2302,7000000.0
164692,6000000.0
176939,140000.0
164230,7000000.0
148574,5000000.0
170589,625000.0
164041,9000000.0
19028,28500000.0
163680,60000.0
56195,74500000.0
148184,7000000.0
130910,5000000.0
136198,1000000.0
168652,575000.0
165347,3000000.0
107254,500000.0
1395,13500000.0
130913,5000000.0
166476,1500000.0
2864,5000000.0
111617,65000000.0
136098,1100000.0
51612,700000.0
61100,1200000.0
18172,100000.0
181,36500000.0
37961,8500000.0
40094,3200000.0
152802,900000.0
50766,600000.0
131803,3300000.0
114884,5500000.0
174655,170000.0
61211,1600000.0
53912,400000.0
81237,1200000.0
177000,80000.0
83204,950000.0
147522,10500000.0
39292,4100000.0
127327,170000.0
111676,43500000.0
131552,3900000.0
100049,1900000.0
79141,3000000.0
62501,2700000.0
4070,1800000.0
3579,4200000.0
157641,400000.0
76218,9000000.0
125799,300000.0
79841,2600000.0
76762,8000000.0
1027,9000000.0
129713,23000000.0
132337,3500000.0
123757,500000.0
113907,1500000.0
23649,3100000.0
143187,275000.0
156967,400000.0
111765,25000000.0
54003,350000.0
149843,2900000.0
94424,8000000.0
38431,7500000.0
26642,825000.0
164353,6500000.0
76904,2500000.0
18548,60500000.0
112134,14000000.0
170712,575000.0
44773,1500000.0
41528,3400000.0
147367,10000000.0
118966,375000.0
38430,9000000.0
75459,17500000.0
112184,11500000.0
57035,21000000.0
163140,80000.0
151164,1500000.0
111756,25000000.0
111866,21500000.0
18777,22500000.0
50256,1200000.0
111610,60000000.0
75598,18000000.0
143447,300000.0
148985,3700000.0
170006,700000.0
126615,325000.0
153028,775000.0
136601,500000.0
15280,575000.0
134224,1900000.0
94249,11500000.0
95329,6000000.0
18495,46000000.0
73552,350000.0
77476,5500000.0
132800,3100000.0
128340,140000.0
53896,400000.0
132025,2700000.0
100135,1200000.0
1978,5500000.0
166557,925000.0
77209,8000000.0
127110,230000.0
57355,10500000.0
131948,2400000.0
112334,11000000.0
114709,4000000.0
170871,425000.0
177144,100000.0
129834,17000000.0
19909,6000000.0
95734,7500000.0
159851,250000.0
58092,5500000.0
148734,3900000.0
145236,170000.0
2629,2200000.0
94250,12000000.0
96695,4700000.0
163869,40000000.0
150477,1800000.0
153488,975000.0
139187,875000.0
161100,190000.0
175012,160000.0
37342,10000000.0
20481,2900000.0
70824,600000.0
113831,5000000.0
94574,4100000.0
62015,1600000.0
21299,5000000.0
37792,16000000.0
579,8500000.0
7414,2100000.0
18592,20500000.0
147428,15500000.0
117758,1300000.0
165908,3000000.0
150615,2000000.0
4659,2100000.0
37481,12000000.0
131749,3600000.0
37947,10500000.0
114804,2700000.0
174106,190000.0
38236,7000000.0
159036,425000.0
31450,1000000.0
117570,1400000.0
149820,3000000.0
73555,350000.0
113264,8500000.0
171731,525000.0
1510,8000000.0
75633,14500000.0
115643,3700000.0
119794,675000.0
26095,1100000.0
147823,8000000.0
41371,1900000.0
58951,2900000.0
127710,180000.0
103359,950000.0
150008,2000000.0
76946,5000000.0
15961,450000.0
242,25500000.0
19293,11500000.0
75260,29000000.0
59190,4900000.0
162341,180000.0
122824,625000.0
61884,1800000.0
122838,550000.0
128136,140000.0
61477,1600000.0
103378,850000.0
129619,33000000.0
168007,900000.0
144510,250000.0
97334,3100000.0
160434,250000.0
896,15000000.0
75023,80500000.0
112224,11000000.0
3811,2200000.0
94573,10000000.0
14652,600000.0
37578,21000000.0
165447,2800000.0
93803,18000000.0
153038,500000.0
43306,2800000.0
144988,210000.0
1650,4700000.0
4960,1600000.0
98082,2100000.0
26919,1800000.0
177553,70000.0
75570,15500000.0
52143,600000.0
18553,49000000.0
57307,16000000.0
147590,12000000.0
135989,1500000.0
111487,50000.0
113183,9000000.0
165646,2500000.0
121692,750000.0
151782,1400000.0
95352,8000000.0
14789,525000.0
158966,210000.0
37447,19000000.0
20417,4500000.0
107207,475000.0
37851,12500000.0
151194,1800000.0
115273,3100000.0
76178,7500000.0
147245,17500000.0
128733,100000.0
20613,3300000.0
93792,22000000.0
59,59500000.0
166539,1300000.0
147345,16500000.0
58614,6500000.0
113879,2300000.0
140120,800000.0
29886,550000.0
91194,210000.0
61939,1600000.0
165182,3400000.0
65541,900000.0
115082,3900000.0
149737,2000000.0
37376,20500000.0
33882,575000.0
50269,975000.0
177807,70000.0
127672,170000.0
149145,3000000.0
164270,8000000.0
31427,1000000.0
16135,325000.0
57049,17000000.0
76816,8500000.0
108644,325000.0
46773,1800000.0
132072,3100000.0
48580,675000.0
75329,19000000.0
73004,375000.0
112636,10000000.0
169810,700000.0
144521,250000.0
2893,5500000.0
132329,3600000.0
23223,525000.0
130544,7500000.0
163847,40500000.0
75615,17500000.0
166538,1500000.0
132885,2400000.0
20701,6000000.0
141977,575000.0
18734,33000000.0
50590,825000.0
57637,12000000.0
124479,600000.0
114065,4100000.0
150980,2700000.0
141348,425000.0
159743,375000.0
174,30000000.0
83082,1000000.0
62102,675000.0
164609,6000000.0
173205,230000.0
129324,60000.0
116440,3400000.0
157756,375000.0
41043,2200000.0
147279,23500000.0
155860,600000.0
139337,675000.0
277,40500000.0
96203,4500000.0
139844,375000.0
95645,7000000.0
1134,11500000.0
97464,3500000.0
129726,22500000.0
161023,275000.0
179683,30000.0
21393,3200000.0
45388,700000.0
60024,2900000.0
79279,2600000.0
95119,10000000.0
113239,8500000.0
158550,325000.0
130340,8000000.0
79816,3200000.0
48748,575000.0
126026,400000.0
130310,10500000.0
148498,5500000.0
78602,3400000.0
1295,7500000.0
143603,275000.0
130848,7000000.0
44468,2200000.0
108689,275000.0
56346,40500000.0
112832,11000000.0
69966,1000000.0
123833,550000.0
51356,750000.0
56672,21500000.0
147550,11500000.0
94517,11500000.0
76520,6500000.0
175767,130000.0
126715,250000.0
148718,1800000.0
309,31000000.0
58400,3100000.0
58487,4500000.0
86546,625000.0
4341,3800000.0
151484,1100000.0
121366,475000.0
75844,10500000.0
96153,4800000.0
159865,250000.0
114223,6000000.0
132627,2100000.0
134162,950000.0
93515,86000000.0
164532,4400000.0
1221,8000000.0
19278,14000000.0
37309,26500000.0
131595,2900000.0
21550,2700000.0
19451,12000000.0
56937,14000000.0
96956,3300000.0
39225,4100000.0
156081,400000.0
136130,1000000.0
149697,2400000.0
39432,4400000.0
78198,4000000.0
38287,6500000.0
56839,19500000.0
45100,500000.0
56515,26500000.0
111060,100000.0
37319,22000000.0
177787,100000.0
113289,8500000.0
79877,2700000.0
139339,775000.0
129892,16500000.0
175074,230000.0
93575,33000000.0
155091,475000.0
119508,1100000.0
76557,6500000.0
173459,400000.0
58158,9000000.0
104,47000000.0
164607,6000000.0
91063,275000.0
25506,2600000.0
600,15500000.0
172803,350000.0
150371,2200000.0
122475,925000.0
127116,275000.0
57837,5500000.0
130109,11000000.0
38859,9000000.0
159704,350000.0
17664,240000.0
94193,10000000.0
37745,7000000.0
142690,400000.0
175724,130000.0
120332,825000.0
105383,800000.0
57122,11500000.0
109993,170000.0
117246,1200000.0
165503,2900000.0
75787,14000000.0
135420,1100000.0
19449,11000000.0
134716,1200000.0
21093,2400000.0
129649,26500000.0
145541,160000.0
19455,12000000.0
19673,6500000.0
116223,1300000.0
59520,425000.0
160643,230000.0
35193,425000.0
34487,500000.0
131226,4900000.0
153631,975000.0
147354,16500000.0
75041,68000000.0
77413,4400000.0
127128,250000.0
87325,775000.0
76580,6000000.0
159959,230000.0
40247,2800000.0
161063,180000.0
160719,190000.0
5348,3000000.0
121308,475000.0
135253,1200000.0
4022,1600000.0
34397,525000.0
147791,5500000.0
101523,775000.0
170039,550000.0
175680,100000.0
493,33000000.0
59445,2500000.0
127507,150000.0
130409,6000000.0
39069,3600000.0
77010,6000000.0
57169,7000000.0
852,22000000.0
161622,170000.0
663,26500000.0
140821,250000.0
117337,1900000.0
37074,35500000.0
165984,3100000.0
57727,8500000.0
131019,2200000.0
75953,10500000.0
150977,2800000.0
118708,1100000.0
52871,575000.0
119416,950000.0
145999,100000.0
76967,6500000.0
19444,14500000.0
56279,43500000.0
150876,1000000.0
6259,2600000.0
53602,450000.0
60005,3800000.0
154914,725000.0
19369,10000000.0
59170,5500000.0
129744,26500000.0
24405,1400000.0
151795,1400000.0
686,21500000.0
148772,3800000.0
37230,16000000.0
77369,6500000.0
98181,3500000.0
56502,29000000.0
129543,36500000.0
115648,3100000.0
111956,17500000.0
167196,1400000.0
129811,23500000.0
78293,4200000.0
112451,10500000.0
117046,1800000.0
22361,1400000.0
123842,500000.0
112123,14500000.0
14738,600000.0
75966,9000000.0
159003,425000.0
38353,11500000.0
140484,600000.0
36920,83500000.0
37663,9500000.0
164624,4900000.0
167516,1000000.0
38168,7000000.0
89501,300000.0
149699,2800000.0
100057,1500000.0
122801,550000.0
142709,450000.0
170706,550000.0
104307,975000.0
78111,4000000.0
21622,1500000.0
160438,250000.0
77682,6500000.0
164648,4300000.0
36911,93500000.0
60404,1600000.0
133475,2900000.0
1448,11000000.0
18550,48000000.0
122508,1000000.0
144017,275000.0
78460,3700000.0
127313,210000.0
95394,6500000.0
16653,425000.0
9535,1700000.0
86153,925000.0
148342,3400000.0
114967,4400000.0
150834,1300000.0
130205,7500000.0
130436,6500000.0
127776,140000.0
45554,2100000.0
163028,80000.0
82437,900000.0
155366,925000.0
134094,1300000.0
18648,34500000.0
97913,1800000.0
133226,1500000.0
117698,1100000.0
85067,950000.0
121340,525000.0
164037,11500000.0
59889,2400000.0
112738,9500000.0
152083,1200000.0
14609,550000.0
117091,1800000.0
155149,500000.0
144107,250000.0
39354,7000000.0
113345,6500000.0
160576,250000.0
75571,16000000.0
108408,275000.0
75488,17500000.0
76112,9500000.0
108816,240000.0
130013,10000000.0
18366,86000000.0
104341,950000.0
146408,120000.0
38149,9000000.0
145457,190000.0
170156,575000.0
150441,2200000.0
101631,875000.0
147727,9500000.0
19760,12500000.0
56868,14000000.0
77483,5500000.0
174841,190000.0
56428,28000000.0
111991,20000000.0
77818,4700000.0
97965,2400000.0
123686,525000.0
16329,425000.0
95325,6000000.0
76689,9000000.0
161301,160000.0
77872,5000000.0
112020,17500000.0
148892,4700000.0
165930,2700000.0
94438,10500000.0
115720,3200000.0
75069,61000000.0
134251,2200000.0
175782,120000.0
63523,2200000.0
138760,475000.0
2196,3600000.0
161587,200000.0
120151,750000.0
75669,12500000.0
170988,350000.0
19956,6500000.0
94151,10000000.0
176326,90000.0
109706,170000.0
178289,80000.0
406,24000000.0
166678,1100000.0
113004,5500000.0
128828,110000.0
114926,3900000.0
130888,6500000.0
56660,22000000.0
113174,10000000.0
147846,8500000.0
129983,16500000.0
97868,900000.0
20877,3300000.0
172492,350000.0
93667,34000000.0
113215,8000000.0
20137,5500000.0
120142,800000.0
145889,130000.0
120250,750000.0
79250,2700000.0
136221,1200000.0
167921,800000.0
145820,170000.0
132777,2800000.0
167008,1400000.0
132512,3000000.0
140989,210000.0
160362,190000.0
59295,3700000.0
103437,825000.0
147784,7500000.0
94215,15500000.0
133197,1300000.0
157144,275000.0
140100,875000.0
59162,5500000.0
57176,10500000.0
41620,3200000.0
502,23000000.0
122030,475000.0
32368,800000.0
110040,160000.0
177559,80000.0
141471,450000.0
147918,7500000.0
177526,110000.0
719,17000000.0
20496,3500000.0
37047,41500000.0
113235,8000000.0
148895,4100000.0
130956,4700000.0
141211,575000.0
122275,475000.0
131811,3400000.0
75202,32000000.0
170269,375000.0
37580,20000000.0
61953,1500000.0
895,14500000.0
95924,1700000.0
93886,18500000.0
135806,1000000.0
59421,2500000.0
7228,2600000.0
21339,4300000.0
132593,1700000.0
131730,4500000.0
69170,975000.0
1019,10000000.0
53880,500000.0
20292,6000000.0
147753,10000000.0
178515,60000.0
163876,26500000.0
43649,1800000.0
112855,9000000.0
57842,6500000.0
33857,575000.0
113686,6500000.0
118244,1800000.0
179518,70000.0
36915,116500000.0
35896,275000.0
163393,80000.0
76480,6500000.0
123054,600000.0
125246,550000.0
170285,500000.0
1608,2100000.0
171321,550000.0
23728,2600000.0
145121,170000.0
101633,750000.0
1479,7500000.0
56274,52000000.0
129591,36000000.0
141851,275000.0
136997,1200000.0
152873,1000000.0
24938,1600000.0
99503,1000000.0
105431,800000.0
115087,3900000.0
141021,425000.0
76987,6500000.0
113335,6500000.0
131975,2700000.0
166709,1700000.0
159799,325000.0
176344,110000.0
168588,675000.0
154600,725000.0
18383,88500000.0
164079,13000000.0
115599,5000000.0
95179,9000000.0
116368,1800000.0
165768,2400000.0
42804,1400000.0
166218,1500000.0
148221,6500000.0
93652,30500000.0
166937,2000000.0
129659,28500000.0
69965,1000000.0
157047,300000.0
101265,900000.0
56866,16500000.0
37257,22500000.0
176296,120000.0
175805,90000.0
76590,7500000.0
20995,2900000.0
164068,12000000.0
38470,8000000.0
151953,1400000.0
45510,975000.0
112019,13500000.0
27130,1300000.0
147284,22000000.0
167112,1300000.0
124967,325000.0
144593,240000.0
154829,725000.0
167069,925000.0
174799,240000.0
173571,230000.0
3672,3500000.0
122705,600000.0
59838,2600000.0
148872,5000000.0
15263,625000.0
62339,950000.0
94649,5000000.0
34461,475000.0
683,21500000.0
109160,250000.0
38381,12000000.0
77156,9500000.0
81063,1200000.0
100412,1100000.0
106344,550000.0
69145,900000.0
56130,113000000.0
33142,675000.0
158217,550000.0
79809,3200000.0
77397,6500000.0
43251,1300000.0
9756,1500000.0
76636,11500000.0
79795,3600000.0
19948,6000000.0
20488,3400000.0
18878,24500000.0
76680,9500000.0
143549,275000.0
114322,4500000.0
38418,8000000.0
117898,775000.0
38536,6000000.0
130229,10000000.0
74431,210000.0
129643,27500000.0
1821,9500000.0
139758,500000.0
162356,160000.0
516,22000000.0
43069,950000.0
138054,1300000.0
37292,30000000.0
175809,100000.0
115754,2600000.0
122622,675000.0
54006,375000.0
2080,3300000.0
75054,56500000.0
165156,3200000.0
138577,600000.0
119198,925000.0
112249,10000000.0
135875,725000.0
101109,1300000.0
113291,8500000.0
75278,24000000.0
18900,21500000.0
19154,9500000.0
114316,5500000.0
132046,3400000.0
116789,1800000.0
1802,8500000.0
36937,71500000.0
2304,6500000.0
176169,160000.0
149363,3400000.0
137324,800000.0
166772,1500000.0
44630,1900000.0
164925,2000000.0
140141,750000.0
135077,1600000.0
138720,400000.0
56320,38500000.0
167826,925000.0
89923,425000.0
291,32500000.0
133681,2200000.0
75040,73000000.0
111919,17500000.0
112057,15000000.0
149138,2900000.0
147177,25000000.0
132575,2300000.0
122488,975000.0
36892,129500000.0
40699,2300000.0
83813,1200000.0
111883,22500000.0
113308,8500000.0
89153,550000.0
56934,12000000.0
173628,400000.0
62543,2700000.0
41382,1900000.0
75703,10000000.0
25711,2100000.0
147520,9000000.0
161679,180000.0
120274,750000.0
39683,3000000.0
147242,16500000.0
50322,925000.0
148724,1800000.0
133038,2100000.0
39357,6500000.0
21574,2800000.0
37675,10000000.0
175354,250000.0
123544,775000.0
19774,12500000.0
164908,2900000.0
130542,9500000.0
169538,725000.0
75641,14000000.0
57658,12000000.0
59008,3000000.0
150503,2200000.0
46734,1700000.0
112557,10000000.0
132972,2600000.0
185,35000000.0
164944,3400000.0
125434,350000.0
37285,29500000.0
169824,675000.0
172449,375000.0
5223,3300000.0
57466,6000000.0
42498,2800000.0
19761,12500000.0
110403,150000.0
166179,1500000.0
155263,650000.0
91613,210000.0
59944,4200000.0
146863,60000.0
18649,34500000.0
113229,7500000.0
109125,250000.0
117018,550000.0
36990,48500000.0
145062,190000.0
109180,275000.0
117580,1200000.0
170267,375000.0
140825,300000.0
127603,200000.0
26714,2200000.0
77521,4800000.0
19214,20000000.0
172331,350000.0
57312,15000000.0
57303,16000000.0
56863,18500000.0
134211,2600000.0
130568,8500000.0
88850,375000.0
166627,1200000.0
37410,24000000.0
38150,8000000.0
47985,1300000.0
53892,425000.0
116377,1600000.0
124454,650000.0
156381,725000.0
36979,52500000.0
8386,2000000.0
57382,10000000.0
111905,19000000.0
91142,275000.0
127734,180000.0
148316,1800000.0
107,50500000.0
111663,26000000.0
50297,975000.0
142896,300000.0
82858,1200000.0
112014,14500000.0
95469,5500000.0
150930,725000.0
134750,1000000.0
23305,1600000.0
18469,39000000.0
130087,14000000.0
87622,500000.0
24677,2400000.0
66036,1100000.0
19880,6500000.0
160551,220000.0
20369,5500000.0
940,11000000.0
517,23500000.0
175681,120000.0
132933,2300000.0
135220,1400000.0
117943,775000.0
176182,130000.0
79839,2900000.0
144993,230000.0
46741,1700000.0
95628,10000000.0
89791,400000.0
19268,12500000.0
15262,625000.0
113405,4200000.0
144343,210000.0
122787,550000.0
99784,775000.0
134666,600000.0
147268,26500000.0
46583,875000.0
66045,1000000.0
135623,875000.0
25561,2300000.0
138139,1000000.0
111846,23500000.0
152415,950000.0
129625,38000000.0
133477,3300000.0
112901,9500000.0
164719,6000000.0
154105,575000.0
40127,3400000.0
154451,900000.0
167871,1100000.0
58102,6000000.0
59281,3400000.0
148255,5000000.0
69166,925000.0
85914,575000.0
118252,1900000.0
70859,575000.0
117612,1200000.0
131043,5000000.0
93956,13500000.0
168519,1100000.0
171924,200000.0
886,17000000.0
127760,160000.0
93631,37000000.0
38641,5500000.0
94795,10500000.0
33283,575000.0
57151,7500000.0
163956,14500000.0
163868,28500000.0
148621,4800000.0
88230,625000.0
112174,15500000.0
21512,2900000.0
130177,3100000.0
43558,1800000.0
19611,5000000.0
20791,4600000.0
93641,23000000.0
61178,1600000.0
18427,34500000.0
85346,750000.0
152077,1200000.0
20602,3600000.0
76872,6500000.0
1629,3500000.0
23747,2100000.0
152681,1000000.0
72304,500000.0
165048,3700000.0
165643,1800000.0
161623,160000.0
132562,2300000.0
75177,34500000.0
20804,4400000.0
151115,1900000.0
169943,750000.0
147758,9000000.0
44,84000000.0
26822,1800000.0
143958,120000.0
71623,550000.0
97939,1800000.0
93574,34500000.0
116496,2700000.0
37097,41500000.0
19237,16000000.0
177253,120000.0
167785,750000.0
166159,2300000.0
132775,3200000.0
106634,450000.0
4414,3600000.0
18549,61500000.0
60865,2300000.0
153835,900000.0
95213,9000000.0
121092,425000.0
163940,15000000.0
119518,1100000.0
88270,600000.0
176987,120000.0
148061,5500000.0
75665,12000000.0
78082,3400000.0
152678,975000.0
91914,170000.0
144023,300000.0
83815,1300000.0
152942,850000.0
136670,775000.0
75810,12500000.0
15782,550000.0
37983,11000000.0
112585,10000000.0
147450,18500000.0
113799,6000000.0
115848,2400000.0
174090,190000.0
42620,1900000.0
74182,230000.0
39136,4000000.0
80120,2000000.0
173345,220000.0
57350,10000000.0
1562,6500000.0
42456,3000000.0
129760,19000000.0
164711,4600000.0
122348,450000.0
178022,80000.0
123889,425000.0
102669,675000.0
152890,925000.0
75362,20000000.0
41052,1900000.0
147480,13000000.0
37200,24500000.0
179647,30000.0
74196,240000.0
21994,4200000.0
164447,
18540,35500000.0
116447,2800000.0
75803,14000000.0
57530,7500000.0
159816,250000.0
120174,600000.0
76477,7000000.0
166302,1100000.0
56684,18500000.0
155445,675000.0
149004,3400000.0
115266,1600000.0
38939,6000000.0
148150,7500000.0
120515,950000.0
64708,1900000.0
160753,220000.0
57066,15500000.0
79578,2000000.0
18815,20500000.0
34861,450000.0
129851,16500000.0
